City,Date,Consumption (kWh),Temperature (°C),Peak Hours Usage (kWh)
Chicago,2025-01-15,418,-4.0,179.1
Chicago,2025-01-16,677,31.3,214.4
Chicago,2025-01-17,483,25.7,229.2
Chicago,2025-01-18,472,17.5,227.2
Chicago,2025-01-19,673,10.6,222.7
Chicago,2025-01-20,489,17.8,238.0
Chicago,2025-01-21,400,19.1,134.5
Chicago,2025-01-22,676,3.8,211.8
Chicago,2025-01-23,627,8.1,283.3
Chicago,2025-01-24,428,20.6,197.9
Chicago,2025-01-25,537,19.9,195.9
Chicago,2025-01-26,411,9.4,205.0
Chicago,2025-01-27,408,31.2,183.5
Chicago,2025-01-28,443,-3.6,207.0
Chicago,2025-01-29,481,4.3,213.0
Chicago,2025-01-30,633,11.8,202.5
Houston,2025-01-01,476,10.4,185.1
Houston,2025-01-02,468,11.8,159.9
Houston,2025-01-03,577,26.0,287.9
Houston,2025-01-04,488,34.8,193.8
Houston,2025-01-05,560,19.7,269.0
Houston,2025-01-06,632,25.5,256.9
Houston,2025-01-07,474,19.3,208.4
Houston,2025-01-08,625,27.9,290.0
Houston,2025-01-09,649,12.3,204.1
Houston,2025-01-10,619,13.9,255.5
Houston,2025-01-11,617,2.0,288.3
Houston,2025-01-12,610,29.5,286.9
Houston,2025-01-13,451,24.4,190.9
Houston,2025-01-14,666,0.2,231.8
Houston,2025-01-15,570,32.4,249.1
Houston,2025-01-16,525,4.6,198.6
Houston,2025-01-17,646,11.4,285.7
Houston,2025-01-18,515,3.1,186.4
Houston,2025-01-19,674,-3.5,219.4
Houston,2025-01-20,621,2.5,265.8
Houston,2025-01-21,690,22.4,271.8
Houston,2025-01-22,546,10.2,206.7
Houston,2025-01-23,519,9.0,200.6
Houston,2025-01-24,679,7.3,210.6
Houston,2025-01-25,669,15.3,249.0
Houston,2025-01-26,420,2.7,194.0
Houston,2025-01-27,425,23.0,189.1
Houston,2025-01-28,661,-3.4,219.4
Houston,2025-01-29,536,-2.5,162.6
Houston,2025-01-30,499,34.6,196.0
San Francisco,2025-01-01,669,15.9,303.3
San Francisco,2025-01-02,608,6.3,217.2
San Francisco,2025-01-03,416,26.7,162.6
San Francisco,2025-01-04,502,13.3,236.5
San Francisco,2025-01-05,662,7.2,272.5
San Francisco,2025-01-06,693,8.4,209.1
San Francisco,2025-01-07,690,-0.1,298.2
San Francisco,2025-01-08,603,9.2,197.0
San Francisco,2025-01-09,548,26.4,172.4
San Francisco,2025-01-10,425,28.5,162.6
San Francisco,2025-01-11,436,6.6,171.5
San Francisco,2025-01-12,630,-2.5,193.6
San Francisco,2025-01-13,625,32.5,196.5
San Francisco,2025-01-14,594,10.4,260.7
San Francisco,2025-01-15,539,0.9,164.1
San Francisco,2025-01-16,552,17.1,264.2
San Francisco,2025-01-17,630,16.7,233.7
San Francisco,2025-01-18,491,-3.4,170.8
San Francisco,2025-01-19,602,31.8,252.5
San Francisco,2025-01-20,491,-4.1,160.1
San Francisco,2025-01-21,603,3.4,192.0
San Francisco,2025-01-22,539,29.8,216.0
San Francisco,2025-01-23,658,15.1,292.8
San Francisco,2025-01-24,543,9.9,245.6
San Francisco,2025-01-25,644,5.6,305.9
San Francisco,2025-01-26,475,19.7,143.0
San Francisco,2025-01-27,571,34.8,261.1
San Francisco,2025-01-28,566,5.3,279.2
San Francisco,2025-01-29,656,3.6,302.0
San Francisco,2025-01-30,600,26.9,273.4
